trade_date,amd_tag,asian_range_pips,asian_is_flat,daily_bias_alignment,judas_direction,reversal_confirmed,predicted_direction,distribution_direction,alignment_correct,tag_at_25,tag_at_30,tag_at_35,tag_at_40,tag_at_45,tag_at_50
2025-05-01,AMD_SHIFTED,43,true,CONFLICTED,DOWN,false,DOWN,DOWN,true,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_FAILED,AMD_FAILED
2025-05-02,AMD_SHIFTED,41,true,CONFLICTED,UP,false,UP,UP,true,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_COMPRESSION_BREAKOUT,AMD_COMPRESSION_BREAKOUT
2025-05-05,AMD_NONE,54,true,CONFLICTED,UP,false,UP,DOWN,false,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE
2025-05-06,AMD_TEXTBOOK,28,true,ALIGNED,DOWN,true,UP,UP,true,AMD_SHIFTED,AMD_TEXTBOOK,AMD_TEXTBOOK,AMD_TEXTBOOK,AMD_TEXTBOOK,AMD_TEXTBOOK
2025-05-07,AMD_SHIFTED,39,false,ALIGNED,DOWN,false,UP,DOWN,false,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED
2025-05-08,AMD_NONE,62,true,ALIGNED,DOWN,false,UP,UP,true,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE
2025-05-09,AMD_SHIFTED,44,true,ALIGNED,DOWN,true,UP,UP,true,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_TEXTBOOK,AMD_TEXTBOOK
2025-05-12,AMD_NONE,70,true,ALIGNED,UP,true,DOWN,DOWN,true,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE
2025-05-13,AMD_NONE,58,true,CONFLICTED,DOWN,true,DOWN,UP,false,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE
2025-05-14,AMD_TEXTBOOK,24,true,ALIGNED,UP,true,DOWN,DOWN,true,AMD_TEXTBOOK,AMD_TEXTBOOK,AMD_TEXTBOOK,AMD_TEXTBOOK,AMD_TEXTBOOK,AMD_TEXTBOOK
2025-05-15,AMD_SHIFTED,43,true,ALIGNED,UP,true,DOWN,DOWN,true,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_FAILED,AMD_FAILED
2025-05-16,AMD_SHIFTED,42,false,CONFLICTED,DOWN,false,DOWN,DOWN,true,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED
2025-05-19,AMD_COMPRESSION_BREAKOUT,32,true,ALIGNED,UP,false,UP,UP,true,AMD_SHIFTED,AMD_SHIFTED,AMD_COMPRESSION_BREAKOUT,AMD_COMPRESSION_BREAKOUT,AMD_COMPRESSION_BREAKOUT,AMD_COMPRESSION_BREAKOUT
2025-05-20,AMD_SHIFTED,47,true,CONFLICTED,DOWN,false,DOWN,DOWN,true,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_COMPRESSION_BREAKOUT
2025-05-21,AMD_SHIFTED,36,true,CONFLICTED,DOWN,false,DOWN,UP,false,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_FAILED,AMD_FAILED,AMD_FAILED
2025-05-22,AMD_COMPRESSION_BREAKOUT,26,true,CONFLICTED,DOWN,false,DOWN,DOWN,true,AMD_SHIFTED,AMD_COMPRESSION_BREAKOUT,AMD_COMPRESSION_BREAKOUT,AMD_COMPRESSION_BREAKOUT,AMD_COMPRESSION_BREAKOUT,AMD_COMPRESSION_BREAKOUT
2025-05-23,AMD_SHIFTED,48,false,CONFLICTED,UP,false,UP,UP,true,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED
2025-05-26,AMD_SHIFTED,39,true,CONFLICTED,DOWN,false,DOWN,DOWN,true,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_FAILED,AMD_FAILED,AMD_FAILED
2025-05-27,AMD_NONE,50,false,ALIGNED,UP,true,DOWN,DOWN,true,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE,AMD_NONE
2025-05-28,AMD_TEXTBOOK,29,true,ALIGNED,UP,true,DOWN,DOWN,true,AMD_SHIFTED,AMD_TEXTBOOK,AMD_TEXTBOOK,AMD_TEXTBOOK,AMD_TEXTBOOK,AMD_TEXTBOOK
2025-05-29,AMD_SHIFTED,42,true,CONFLICTED,DOWN,true,DOWN,FLAT,n/a,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_TEXTBOOK,AMD_TEXTBOOK
2025-05-30,AMD_SHIFTED,45,true,CONFLICTED,DOWN,false,DOWN,UP,false,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_FAILED
2025-06-02,AMD_SHIFTED,47,false,CONFLICTED,DOWN,true,DOWN,UP,false,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED
2025-06-03,AMD_SHIFTED,49,false,CONFLICTED,DOWN,false,DOWN,UP,false,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED,AMD_SHIFTED
