trade_date,amd_tag,daily_bias_alignment,layer4_d1_bias,layer4_bullish_count,layer4_bearish_count,judas_direction,judas_pips,asian_net_pips,asian_range_pips,reversal_confirmed,dist_candle_count,distribution_direction,distribution_pips,predicted_direction,alignment_correct
2025-05-01,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,10,-26,43,false,6,DOWN,4.599999999999049,DOWN,true
2025-05-02,AMD_SHIFTED,CONFLICTED,TRENDING_UP,3,2,UP,30,29,41,false,6,UP,3.5999999999991594,UP,true
2025-05-05,AMD_NONE,CONFLICTED,TRENDING_UP,3,2,UP,27,22,54,false,6,DOWN,21.400000000000308,UP,false
2025-05-06,AMD_TEXTBOOK,ALIGNED,TRENDING_UP,4,1,DOWN,21,-3,28,true,6,UP,41.700000000000074,UP,true
2025-05-07,AMD_SHIFTED,ALIGNED,TRENDING_UP,3,2,DOWN,19,-20,39,false,6,DOWN,8.100000000000884,UP,false
2025-05-08,AMD_NONE,ALIGNED,TRENDING_UP,3,2,DOWN,13,-11,62,false,6,UP,2.60000000000038,UP,true
2025-05-09,AMD_SHIFTED,ALIGNED,TRENDING_UP,3,2,DOWN,13,17,44,true,6,UP,23.800000000000487,UP,true
2025-05-12,AMD_NONE,ALIGNED,TRENDING_DOWN,2,3,UP,10,-14,70,true,6,DOWN,40.30000000000089,DOWN,true
2025-05-13,AMD_NONE,CONFLICTED,TRENDING_DOWN,2,3,DOWN,8,36,58,true,6,UP,59.00000000000016,DOWN,false
2025-05-14,AMD_TEXTBOOK,ALIGNED,TRENDING_DOWN,2,3,UP,13,16,24,true,6,DOWN,34.90000000000104,DOWN,true
2025-05-15,AMD_SHIFTED,ALIGNED,TRENDING_DOWN,2,3,UP,5,-8,43,true,6,DOWN,16.00000000000046,DOWN,true
2025-05-16,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,1,4,DOWN,9,24,42,false,6,DOWN,26.199999999999555,DOWN,true
2025-05-19,AMD_COMPRESSION_BREAKOUT,ALIGNED,TRENDING_DOWN,2,3,UP,21,16,32,false,6,UP,10.700000000000154,UP,true
2025-05-20,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,1,4,DOWN,9,-30,47,false,6,DOWN,13.600000000000279,DOWN,true
2025-05-21,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,13,23,36,false,6,UP,27.599999999999845,DOWN,false
2025-05-22,AMD_COMPRESSION_BREAKOUT,CONFLICTED,TRENDING_DOWN,2,3,DOWN,26,16,26,false,6,DOWN,7.500000000000284,DOWN,true
2025-05-23,AMD_SHIFTED,CONFLICTED,TRENDING_UP,3,2,UP,11,44,48,false,6,UP,12.500000000000844,UP,true
2025-05-26,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,10,9,39,false,6,DOWN,9.000000000000119,DOWN,true
2025-05-27,AMD_NONE,ALIGNED,TRENDING_DOWN,2,3,UP,10,-33,50,true,6,DOWN,14.399999999999968,DOWN,true
2025-05-28,AMD_TEXTBOOK,ALIGNED,TRENDING_DOWN,1,4,UP,9,-8,29,true,6,DOWN,27.099999999999902,DOWN,true
2025-05-29,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,14,27,42,true,6,FLAT,0.0999999999995449,DOWN,null
2025-05-30,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,1,4,DOWN,6,-26,45,false,6,UP,15.399999999999858,DOWN,false
2025-06-02,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,5,38,47,true,6,UP,10.099999999999554,DOWN,false
2025-06-03,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,7,-40,49,false,6,UP,2.1999999999999797,DOWN,false
2025-06-04,AMD_COMPRESSION_BREAKOUT,CONFLICTED,TRENDING_UP,3,2,UP,18,-3,29,false,6,UP,22.699999999999942,UP,true
2025-06-05,AMD_COMPRESSION_BREAKOUT,CONFLICTED,TRENDING_UP,3,2,UP,13,11,23,false,6,UP,5.600000000000049,UP,true
2025-06-06,AMD_FAILED,ALIGNED,TRENDING_UP,3,2,DOWN,13,-10,24,false,6,UP,6.099999999999994,UP,true
2025-06-09,AMD_SHIFTED,CONFLICTED,TRENDING_UP,3,2,UP,15,20,26,true,6,DOWN,2.60000000000038,UP,false
2025-06-10,AMD_SHIFTED,CONFLICTED,TRENDING_UP,4,1,UP,17,-16,40,false,6,UP,3.9999999999995595,UP,true
2025-06-11,AMD_TEXTBOOK,CONFLICTED,TRENDING_UP,3,2,UP,8,-17,32,true,6,UP,6.200000000000649,DOWN,false
2025-06-12,AMD_SHIFTED,CONFLICTED,TRENDING_UP,3,2,UP,24,-27,34,false,6,UP,24.399999999999977,UP,true
2025-06-13,AMD_NONE,CONFLICTED,TRENDING_UP,3,2,UP,14,-45,71,true,6,UP,28.700000000000394,UP,true
2025-06-16,AMD_SHIFTED,CONFLICTED,TRENDING_UP,3,2,UP,9,15,47,false,6,UP,19.199999999999218,UP,true
2025-06-17,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,11,25,41,true,6,DOWN,15.100000000000113,DOWN,true
2025-06-18,AMD_SHIFTED,CONFLICTED,TRENDING_UP,3,2,UP,6,17,37,true,6,UP,17.899999999999583,UP,true
2025-06-19,AMD_SHIFTED,ALIGNED,TRENDING_DOWN,2,3,UP,15,-42,49,true,6,DOWN,11.400000000000299,DOWN,true
2025-06-20,AMD_TEXTBOOK,ALIGNED,TRENDING_DOWN,2,3,UP,10,0,23,true,6,DOWN,39.200000000000344,DOWN,true
2025-06-23,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,41,-25,49,false,6,UP,40.99999999999993,DOWN,false
2025-06-24,AMD_SHIFTED,CONFLICTED,TRENDING_UP,3,2,UP,22,16,42,true,6,DOWN,11.700000000000044,UP,false
2025-06-25,AMD_COMPRESSION_BREAKOUT,ALIGNED,TRENDING_UP,3,2,DOWN,8,2,18,false,6,DOWN,4.3999999999999595,DOWN,true
2025-06-26,AMD_COMPRESSION_BREAKOUT,CONFLICTED,TRENDING_UP,4,1,UP,17,13,28,false,6,UP,15.000000000000568,UP,true
2025-06-27,AMD_COMPRESSION_BREAKOUT,ALIGNED,TRENDING_UP,4,1,DOWN,9,2,21,false,6,DOWN,8.40000000000063,DOWN,true
2025-06-30,AMD_TEXTBOOK,ALIGNED,TRENDING_UP,4,1,DOWN,9,2,25,true,6,UP,48.00000000000026,UP,true
2025-07-01,AMD_TEXTBOOK,ALIGNED,TRENDING_UP,4,1,DOWN,9,11,34,true,6,DOWN,13.400000000000079,UP,false
2025-07-02,AMD_FAILED,CONFLICTED,TRENDING_UP,4,1,UP,4,-17,21,true,6,UP,6.599999999999939,DOWN,false
2025-07-03,AMD_FAILED,CONFLICTED,TRENDING_UP,3,2,UP,6,-5,24,true,6,DOWN,2.100000000000435,DOWN,true
2025-07-04,AMD_FAILED,CONFLICTED,TRENDING_UP,3,2,UP,6,-22,30,true,6,DOWN,7.300000000000084,DOWN,true
2025-07-07,AMD_NONE,CONFLICTED,TRENDING_DOWN,2,3,DOWN,18,-46,53,false,6,UP,14.399999999999968,DOWN,false
2025-07-08,AMD_NONE,CONFLICTED,TRENDING_DOWN,2,3,DOWN,7,37,52,false,6,DOWN,16.00000000000046,DOWN,true
2025-07-09,AMD_SHIFTED,ALIGNED,TRENDING_DOWN,2,3,UP,10,1,35,true,6,DOWN,2.4000000000001798,DOWN,true
