amd_tag,bar_index,utc_hour,utc_minute,n_days,avg_favorable,p25_favorable,p50_favorable,p75_favorable,max_favorable,avg_adverse,avg_running_peak,p75_running_peak,avg_pullback_from_peak,pct_still_advancing,pct_new_peak,hard_sl_fired_pct,trail_fired_pct_2_5,trail_fired_pct_5,trail_fired_pct_7_5,trail_fired_pct_10,trail_fired_pct_12_5,trail_fired_pct_15
AMD_TEXTBOOK,0,10,0,38,-2.71,-6.9,-0.9,2.4,9,5.54,1.26,2.4,3.97,100,34.2,7.9,0,0,0,0,0,0
AMD_TEXTBOOK,1,10,5,38,-2.53,-7.1,-1.8,3.1,10.5,5.23,1.61,3.2,4.14,57.9,28.9,7.9,0,0,0,0,0,0
AMD_TEXTBOOK,2,10,10,38,-2.73,-7.3,-2.7,1.8,9.3,5.25,1.71,3.6,4.44,50,15.8,5.3,5.3,0,0,0,0,0
AMD_TEXTBOOK,3,10,15,38,-2.48,-7.4,-1.8,2.2,11.1,5.06,1.93,3.6,4.41,44.7,15.8,10.5,5.3,0,0,0,0,0
AMD_TEXTBOOK,4,10,20,38,-2.37,-8.1,-0.4,2.7,10,4.71,2.08,3.8,4.45,44.7,10.5,7.9,10.5,0,0,0,0,0
AMD_TEXTBOOK,5,10,25,38,-2.23,-7.9,-1.3,2.8,12.9,4.4,2.32,4.3,4.55,44.7,15.8,5.3,15.8,2.6,0,0,0,0
AMD_TEXTBOOK,6,10,30,38,-1.31,-6,-0.8,3.8,18.9,4.29,2.74,4.4,4.05,68.4,15.8,2.6,15.8,2.6,0,0,0,0
AMD_TEXTBOOK,7,10,35,38,-1.42,-6.1,-1.1,2.4,21.8,3.86,2.92,4.8,4.34,57.9,7.9,2.6,26.3,5.3,0,0,0,0
AMD_TEXTBOOK,8,10,40,38,-1.62,-6,-0.2,2,22.3,3.75,2.95,4.8,4.57,36.8,7.9,2.6,34.2,7.9,2.6,0,0,0
AMD_TEXTBOOK,9,10,45,38,-1.5,-4.9,-0.8,2.3,21.3,3.68,2.98,4.8,4.47,47.4,2.6,2.6,36.8,10.5,2.6,0,0,0
AMD_TEXTBOOK,10,10,50,38,-1.13,-4.3,-1.7,2.6,15.8,3.58,3.01,4.8,4.14,63.2,5.3,0,39.5,13.2,2.6,0,0,0
AMD_TEXTBOOK,11,10,55,38,-1.05,-4.5,-1.1,2.5,15.9,3.41,3.02,4.8,4.06,47.4,2.6,0,44.7,13.2,2.6,0,0,0
AMD_TEXTBOOK,12,11,0,38,-0.7,-4.2,-0.4,3.1,18.5,3.09,3.19,4.8,3.89,63.2,10.5,0,44.7,15.8,2.6,2.6,0,0
AMD_TEXTBOOK,13,11,5,38,-0.05,-3.4,-0.1,3.1,18.1,2.7,3.36,5.1,3.41,65.8,10.5,0,47.4,15.8,2.6,2.6,0,0
AMD_TEXTBOOK,14,11,10,38,0.19,-2.7,-0.4,3.8,15.3,2.37,3.54,5.4,3.35,55.3,10.5,0,50,15.8,5.3,2.6,2.6,0
AMD_TEXTBOOK,15,11,15,38,0.51,-3.1,0.4,3.5,13.8,1.84,3.71,5.4,3.19,52.6,18.4,0,52.6,21.1,7.9,2.6,2.6,2.6
AMD_TEXTBOOK,16,11,20,38,0.85,-2.1,1.2,4.7,14.7,1.38,3.92,6.3,3.07,57.9,18.4,0,52.6,21.1,7.9,5.3,2.6,2.6
AMD_TEXTBOOK,17,11,25,38,0.85,-3,0.8,5.1,13,1.59,4.06,6.3,3.21,47.4,13.2,0,55.3,21.1,7.9,5.3,2.6,2.6
AMD_TEXTBOOK,18,11,30,38,0.77,-2.1,1.2,4.2,12.7,1.48,4.13,6.3,3.36,44.7,5.3,0,60.5,23.7,7.9,5.3,2.6,2.6
AMD_TEXTBOOK,19,11,35,38,0.93,-1.1,1.4,3.6,9.6,1.62,4.17,6.3,3.24,44.7,5.3,0,60.5,26.3,7.9,7.9,5.3,2.6
AMD_TEXTBOOK,20,11,40,38,0.8,-1,0.6,2.6,8.4,1.5,4.25,6.4,3.45,42.1,13.2,0,68.4,31.6,13.2,7.9,5.3,2.6
AMD_TEXTBOOK,21,11,45,38,1.04,-0.9,1.4,2.2,8.9,1.57,4.41,6.4,3.37,50,13.2,0,71.1,31.6,13.2,7.9,5.3,5.3
AMD_TEXTBOOK,22,11,50,38,1.3,-0.2,1.7,3,7.3,1.44,4.59,6.4,3.3,57.9,18.4,0,71.1,39.5,15.8,10.5,5.3,5.3
AMD_TEXTBOOK,23,11,55,38,1.43,0.6,1.4,2,4,1.17,4.78,6.4,3.35,52.6,21.1,0,71.1,44.7,15.8,10.5,5.3,5.3
AMD_TEXTBOOK,24,12,0,38,1.71,0.7,1.6,2,11.3,1.68,5.03,6.4,3.32,50,21.1,0,71.1,47.4,18.4,10.5,5.3,5.3
AMD_TEXTBOOK,25,12,5,38,1.55,0,1,2.6,9.8,1.53,5.16,6.8,3.61,39.5,15.8,0,78.9,47.4,23.7,10.5,5.3,5.3
AMD_TEXTBOOK,26,12,10,38,1.89,-0.2,1.8,3.3,8.6,0.97,5.45,7.3,3.56,57.9,21.1,0,78.9,55.3,23.7,10.5,5.3,5.3
AMD_TEXTBOOK,27,12,15,38,2.27,-0.8,1.8,4.6,10.8,0.71,5.81,7.8,3.54,52.6,23.7,0,81.6,57.9,26.3,13.2,5.3,5.3
AMD_TEXTBOOK,28,12,20,38,2.77,-0.1,2,4.7,19.5,0.45,6.43,9.2,3.65,55.3,26.3,0,81.6,60.5,26.3,15.8,5.3,5.3
AMD_TEXTBOOK,29,12,25,38,3.34,-0.4,1.9,5.5,29.6,-0.18,6.98,9.2,3.64,57.9,21.1,0,84.2,60.5,26.3,15.8,5.3,5.3
AMD_TEXTBOOK,30,12,30,38,6.88,1.8,4.2,8.8,51.3,0.71,9.37,10.8,2.5,76.3,39.5,2.6,84.2,60.5,28.9,18.4,5.3,5.3
AMD_TEXTBOOK,31,12,35,38,5.58,1.3,3.7,8.2,55.5,-1.7,9.84,10.8,4.27,47.4,34.2,2.6,84.2,63.2,36.8,21.1,10.5,7.9
AMD_TEXTBOOK,32,12,40,38,5.89,0.9,4.5,9.6,54.8,-1.62,10.07,11.5,4.18,63.2,26.3,2.6,84.2,63.2,36.8,21.1,10.5,7.9
