trade_date,amd_tag,predicted_direction,daily_bias_alignment,judas_direction,reversal_confirmed,asian_range_bucket,asian_range_pips,entry_hour,exit_hour,bars_in_gate,reference_price,mfe_pips,mfe_bar_index,mfe_hour,mae_pips,mae_bar_index,mae_hour,close_pips,giveback_to_close_pips,max_giveback_from_peak_pips,rev_2.5_hit,rev_2.5_bar,rev_2.5_peak_before,rev_5_hit,rev_5_bar,rev_5_peak_before,rev_7.5_hit,rev_7.5_bar,rev_7.5_peak_before,rev_10_hit,rev_10_bar,rev_10_peak_before,rev_12.5_hit,rev_12.5_bar,rev_12.5_peak_before,rev_15_hit,rev_15_bar,rev_15_peak_before
2025-05-01,AMD_SHIFTED,DOWN,CONFLICTED,DOWN,false,GTE_40,43,12,13,24,0.63906,8.4,12,13,4.4,7,12,4.3,4.1,11.8,true,0,2.6,true,6,7.4,true,6,7.4,true,6,7.4,false,,,false,,
2025-05-02,AMD_SHIFTED,UP,CONFLICTED,UP,false,GTE_40,41,12,13,24,0.64332,36.6,21,13,16.5,6,12,23.6,13,22.5,true,0,1.6,true,1,4.4,true,3,4.9,true,6,6,true,6,6,true,6,6
2025-05-05,AMD_NONE,UP,CONFLICTED,UP,false,GTE_40,54,10,11,24,0.64918,2.1,14,11,9.2,10,10,-7.8,9.9,11.2,true,0,1.8,true,1,1.8,true,5,1.8,true,10,1.8,false,,,false,,
2025-05-06,AMD_TEXTBOOK,UP,ALIGNED,DOWN,true,25_40,28,12,13,24,0.64631,12.3,23,13,4.9,1,12,11.7,0.6,7.7,true,0,0.2,true,1,0.5,true,13,7.6,false,,,false,,,false,,
2025-05-07,AMD_SHIFTED,UP,ALIGNED,DOWN,false,25_40,39,12,13,24,0.64732,2.2,23,13,11.2,19,13,1,1.2,13.3,true,1,1.5,true,6,2.1,true,8,2.1,true,12,2.1,true,13,2.1,false,,
2025-05-08,AMD_NONE,UP,ALIGNED,DOWN,false,GTE_40,62,10,11,24,0.6412,15.3,7,10,3,2,10,4.2,11.1,16.6,true,0,2,true,3,6.4,true,10,15.3,true,11,15.3,true,12,15.3,true,21,15.3
2025-05-09,AMD_SHIFTED,UP,ALIGNED,DOWN,true,GTE_40,44,12,13,24,0.6405,20.4,19,13,3.1,2,12,18.6,1.8,6.2,true,1,1,true,12,10,false,,,false,,,false,,,false,,
2025-05-12,AMD_NONE,DOWN,ALIGNED,UP,true,GTE_40,70,10,11,24,0.64075,25.2,9,10,0.1,0,10,12.6,12.6,14.3,true,0,9.9,true,0,9.9,true,0,9.9,true,0,9.9,true,15,25.2,false,,
2025-05-13,AMD_NONE,DOWN,CONFLICTED,DOWN,true,GTE_40,58,10,11,24,0.64122,7.2,1,10,5.6,5,10,4.4,2.8,12.8,true,0,3.5,true,1,7.2,true,2,7.2,true,4,7.2,true,5,7.2,false,,
2025-05-14,AMD_TEXTBOOK,DOWN,ALIGNED,UP,true,LT_25,24,12,13,24,0.64724,16.4,23,13,3.4,9,12,12.8,3.6,14.2,true,0,1.5,true,1,6.1,true,4,10.8,true,6,10.8,true,6,10.8,false,,
2025-05-15,AMD_SHIFTED,DOWN,ALIGNED,UP,true,GTE_40,43,12,13,24,0.64091,7.2,21,13,13.7,12,13,3.8,3.4,19.8,true,0,0.7,true,4,2.7,true,6,5.5,true,6,5.5,true,6,5.5,true,7,5.5
2025-05-16,AMD_SHIFTED,DOWN,CONFLICTED,DOWN,false,GTE_40,42,12,13,24,0.64176,9.4,6,12,0.6,23,13,0.1,9.3,10,true,0,2.6,true,8,9.4,true,15,9.4,true,23,9.4,false,,,false,,
2025-05-19,AMD_COMPRESSION_BREAKOUT,UP,ALIGNED,UP,false,25_40,32,10,13,48,0.64464,5.8,16,11,10.6,37,13,-1,6.8,16.4,true,0,1,true,2,1,true,19,5.8,true,28,5.8,true,35,5.8,true,37,5.8
