amd_tag,trail_pips,avg_captured_pips,pct_of_peak_captured,pct_fired_before_peak,pct_fired_after_peak,avg_fire_bar,avg_fire_hour
AMD_TEXTBOOK,15,3.24,15.1,23.7,36.8,33.3,12.4
AMD_TEXTBOOK,12.5,2.89,13.5,31.6,39.5,34.9,12.6
AMD_TEXTBOOK,10,2.58,12,44.7,36.8,34.8,12.5
AMD_TEXTBOOK,7.5,1.15,5.4,65.8,28.9,32,12.3
AMD_TEXTBOOK,5,-0.58,-2.7,86.8,10.5,21.6,11.4
AMD_TEXTBOOK,2.5,-1.06,-4.9,97.4,2.6,9.8,10.5
AMD_COMPRESSION_BREAKOUT,15,10.3,43.9,9.4,39.6,47.3,13.5
AMD_COMPRESSION_BREAKOUT,12.5,9.43,40.2,22.6,49.1,45.8,13.3
AMD_COMPRESSION_BREAKOUT,10,8.64,36.8,39.6,49.1,42.8,13.1
AMD_COMPRESSION_BREAKOUT,7.5,7.69,32.8,64.2,32.1,33.8,12.4
AMD_COMPRESSION_BREAKOUT,5,5.71,24.4,88.7,9.4,21.7,11.3
AMD_COMPRESSION_BREAKOUT,2.5,1.68,7.2,98.1,0,6.1,10.2
AMD_FAILED,5,2.33,14.7,60.9,34.8,26.9,11.8
AMD_FAILED,2.5,1.59,10,91.3,4.3,10.2,10.5
AMD_FAILED,15,1.23,7.8,10.9,43.5,51.3,13.8
AMD_FAILED,12.5,0.42,2.6,15.2,47.8,49.9,13.7
AMD_FAILED,7.5,0.4,2.5,39.1,43.5,40.7,12.9
AMD_FAILED,10,-0.22,-1.4,23.9,47.8,47,13.4
AMD_SHIFTED,2.5,3.2,17.4,93.3,6.7,9.9,10.6
AMD_SHIFTED,7.5,3.15,17.1,60.7,33.7,29.7,12
AMD_SHIFTED,5,2.78,15.1,83.1,16.9,20.3,11.3
AMD_SHIFTED,10,1.42,7.7,41.6,43.8,35.5,12.6
AMD_SHIFTED,12.5,0.92,5,34.8,41.6,40.5,12.9
AMD_SHIFTED,15,0.19,1,32.6,36,41,13
AMD_NONE,10,1.28,5.3,50,38.2,25.9,11.7
AMD_NONE,7.5,0.66,2.7,70.6,29.4,20.8,11.4
AMD_NONE,15,0.37,1.5,35.3,47.1,33.3,12.4
AMD_NONE,2.5,0.1,0.4,94.1,5.9,5.5,10.3
AMD_NONE,12.5,-0.31,-1.3,47.1,38.2,28.9,12
AMD_NONE,5,-0.58,-2.4,82.4,17.6,13.6,10.8
