trade_date,amd_tag,daily_bias_alignment,layer4_d1_bias,judas_direction,judas_pips,reversal_confirmed,asian_range_pips,predicted_direction,judas_window_direction,judas_window_pips,hour_10_direction,hour_10_pips,hour_10_correct,hour_11_direction,hour_11_pips,hour_11_correct,hour_12_direction,hour_12_pips,hour_12_correct,hour_13_direction,hour_13_pips,hour_13_correct,hour_14_direction,hour_14_pips,hour_14_correct,hour_15_direction,hour_15_pips,hour_15_correct,full_dist_direction,full_dist_pips,full_dist_correct,cumulative_10_correct,cumulative_11_correct,cumulative_12_correct,cumulative_13_correct
2025-05-01,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,DOWN,10,false,43,DOWN,DOWN,9,UP,18.2,false,DOWN,3.6,true,DOWN,4.5,true,FLAT,0.3,n/a,FLAT,0.7,n/a,DOWN,12.8,true,DOWN,4.6,true,false,false,false,false
2025-05-02,AMD_SHIFTED,CONFLICTED,TRENDING_UP,UP,30,false,41,UP,UP,26.2,DOWN,11.9,false,UP,3.9,true,UP,12.3,true,UP,11.2,true,UP,9.1,true,DOWN,20.6,false,UP,3.6,true,false,false,true,true
2025-05-05,AMD_NONE,CONFLICTED,TRENDING_UP,UP,27,false,54,UP,UP,26.9,DOWN,8.4,false,FLAT,0.7,n/a,UP,3,true,DOWN,6.8,false,FLAT,0.3,n/a,DOWN,10.3,false,DOWN,21.4,false,false,false,false,false
2025-05-06,AMD_TEXTBOOK,ALIGNED,TRENDING_UP,DOWN,21,true,28,UP,DOWN,12.6,UP,10.7,true,UP,6.4,true,UP,5.9,true,UP,5.9,true,UP,3.6,true,UP,9.1,true,UP,41.7,true,true,true,true,true
2025-05-07,AMD_SHIFTED,ALIGNED,TRENDING_UP,DOWN,19,false,39,UP,DOWN,15,UP,9.3,true,DOWN,4.8,false,DOWN,4.2,false,UP,5,true,DOWN,5.9,false,DOWN,8.1,false,DOWN,8.1,false,true,true,n/a,true
2025-05-08,AMD_NONE,ALIGNED,TRENDING_UP,DOWN,13,false,62,UP,DOWN,8.5,UP,5.5,true,FLAT,1,n/a,FLAT,1.1,n/a,UP,8.3,true,DOWN,14.6,false,UP,2.9,true,UP,2.6,true,true,true,true,true
2025-05-09,AMD_SHIFTED,ALIGNED,TRENDING_UP,DOWN,13,true,44,UP,DOWN,10.9,FLAT,0.2,n/a,UP,5.5,true,UP,3.8,true,UP,14.8,true,DOWN,2.2,false,UP,2.7,true,UP,23.8,true,n/a,true,true,true
2025-05-12,AMD_NONE,ALIGNED,TRENDING_DOWN,UP,10,true,70,DOWN,UP,2.4,DOWN,22.5,true,UP,10.3,false,DOWN,7.5,true,FLAT,0.4,n/a,DOWN,12.8,true,DOWN,7.7,true,DOWN,40.3,true,true,true,true,true
2025-05-13,AMD_NONE,CONFLICTED,TRENDING_DOWN,DOWN,8,true,58,DOWN,UP,3.7,FLAT,1.8,n/a,DOWN,6.3,true,UP,22.6,false,DOWN,7.6,true,UP,37.2,false,UP,11.8,false,UP,59,false,n/a,true,false,false
2025-05-14,AMD_TEXTBOOK,ALIGNED,TRENDING_DOWN,UP,13,true,24,DOWN,DOWN,7,DOWN,5.3,true,DOWN,2.8,true,DOWN,5.6,true,DOWN,7.4,true,DOWN,2.9,true,DOWN,10.8,true,DOWN,34.9,true,true,true,true,true
