trade_date,amd_tag,daily_bias_alignment,layer4_d1_bias,layer4_bullish_count,layer4_bearish_count,judas_direction,distribution_direction,predicted_direction,alignment_correct,d1_candles_fetched,bearish_setup_count,bullish_setup_count,bearish_exhaustion,bullish_exhaustion,exhaustion_conflicts_amd
2025-05-01,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,DOWN,DOWN,true,29,2,0,false,false,null
2025-05-02,AMD_SHIFTED,CONFLICTED,TRENDING_UP,3,2,UP,UP,UP,true,30,0,1,false,false,null
2025-05-05,AMD_NONE,CONFLICTED,TRENDING_UP,3,2,UP,DOWN,UP,false,29,0,2,false,false,null
2025-05-06,AMD_TEXTBOOK,ALIGNED,TRENDING_UP,4,1,DOWN,UP,UP,true,29,0,3,false,false,null
2025-05-07,AMD_SHIFTED,ALIGNED,TRENDING_UP,3,2,DOWN,DOWN,UP,false,29,0,4,false,false,null
2025-05-08,AMD_NONE,ALIGNED,TRENDING_UP,3,2,DOWN,UP,UP,true,29,1,0,false,false,null
2025-05-09,AMD_SHIFTED,ALIGNED,TRENDING_UP,3,2,DOWN,UP,UP,true,30,2,0,false,false,null
2025-05-12,AMD_NONE,ALIGNED,TRENDING_DOWN,2,3,UP,DOWN,DOWN,true,29,3,0,false,false,null
2025-05-13,AMD_NONE,CONFLICTED,TRENDING_DOWN,2,3,DOWN,UP,DOWN,false,29,0,1,false,false,null
2025-05-14,AMD_TEXTBOOK,ALIGNED,TRENDING_DOWN,2,3,UP,DOWN,DOWN,true,29,0,2,false,false,null
2025-05-15,AMD_SHIFTED,ALIGNED,TRENDING_DOWN,2,3,UP,DOWN,DOWN,true,29,1,0,false,false,null
2025-05-16,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,1,4,DOWN,DOWN,DOWN,true,30,0,1,false,false,null
2025-05-19,AMD_COMPRESSION_BREAKOUT,ALIGNED,TRENDING_DOWN,2,3,UP,UP,UP,true,29,1,0,false,false,null
2025-05-20,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,1,4,DOWN,DOWN,DOWN,true,29,2,0,false,false,null
2025-05-21,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,UP,DOWN,false,29,0,1,false,false,null
2025-05-22,AMD_COMPRESSION_BREAKOUT,CONFLICTED,TRENDING_DOWN,2,3,DOWN,DOWN,DOWN,true,29,0,2,false,false,null
2025-05-23,AMD_SHIFTED,CONFLICTED,TRENDING_UP,3,2,UP,UP,UP,true,30,0,3,false,false,null
2025-05-26,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,2,3,DOWN,DOWN,DOWN,true,29,0,4,false,false,null
2025-05-27,AMD_NONE,ALIGNED,TRENDING_DOWN,2,3,UP,DOWN,DOWN,true,29,0,5,false,false,null
2025-05-28,AMD_TEXTBOOK,ALIGNED,TRENDING_DOWN,1,4,UP,DOWN,DOWN,true,29,0,6,false,false,null
2025-05-30,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,1,4,DOWN,UP,DOWN,false,30,2,0,false,false,null
